round,Organization,Nom de l'entreprise,Number of employees (last value) - Date,NACE Rev.2 Code principal,Ville,Code ISO Pays,Date de création,Total de l'Actif (Dernière année) mUSD (Taux de change à la dernière date de clôture)
first,A.P. Møller-Maersk A/S,A.P. MOLLER - MAERSK A/S,43465,N - Activités de services administratifs et de soutien,COPENHAGEN,DK,1904,56636
first,A.T. Kearney,AT KEARNEY INC,2018,"M - Activités spécialisées, scientifiques et techniques",CHICAGO,US,2006,n.d.
first,ABB Ltd,ABB LTD,43465,C - Industrie manufacturière,ZURICH,CH,1988,44441
first,Abdul Latif Jameel International Group,NA,NA,NA,NA,NA,NA,NA
first,Accenture,ACCENTURE PLC,43343,"M - Activités spécialisées, scientifiques et techniques",DUBLIN,IE,1989,24449083
first,Acciona SA,ACCIONA S.A.,43465,F - Construction,ALCOBENDAS,ES,1916,17103.5526035873
first,Adani Group,ADANI GROUP,NA,NA,"AHMEDABAD, GUJARAT",IN,NA,n.d.
first,Adecco Group,ADECCO GROUP AG,43465,N - Activités de services administratifs et de soutien,GLATTBRUGG,CH,1996,11127.1156070232
first,Adobe Systems Inc.,ADOBE INC,43434,J - Information et communication,SAN JOSE,US,35559,18768682
first,African Rainbow Minerals,AFRICAN RAINBOW MINERALS LIMITED,43281,C - Industrie manufacturière,SANDTON,ZA,1933,2491.08637545258
first,Agility,AGILITY PUBLIC WAREHOUSING COMPANY K.S.C.,NA,H - Transports et entreposage,SAFAT,KW,1979,6072.01112305021
first,Airbus Defence and Space GmbH,AIRBUS DEFENCE AND SPACE GMBH,43100,C - Industrie manufacturière,TAUFKIRCHEN,DE,34603,136644.595551252
first,Al Dabbagh Group Holding Co. Ltd,AL DABBAGH GROUP HOLDING LIMITED COMPANY,NA,NA,JEDDAH,SA,1962,n.d.
first,Alghanim Industries,AL GHANIM INDUSTRIES COMPANY WLL,42735,F - Construction,SHUWAIKH (AL),KW,29517,n.d.
first,Alibaba Group,ALIBABA GROUP HOLDING LIMITED,43555,G - Commerce; réparation d'automobiles et de motocycles,GEORGE TOWN,KY,1999,143589.000479937
first,AlixPartners,ALIXPARTNERS LLP,2018,NA,NEW YORK,US,1981,n.d.
first,Allianz SE,ALLIANZ SE,43465,K - Activités financières et d'assurance,MUNCHEN,DE,1890,1027714.73287189
first,American Tower Corporation,AMERICAN TOWER CORPORATION,43465,S - Autres activités de services,BOSTON,US,35332,33010.4
first,AMTD Group,AMTD INTERNATIONAL HOLDING GROUP LIMITED,NA,K - Activités financières et d'assurance,CENTRAL,HK,40695,n.d.
first,AngloGold Ashanti Ltd,ANGLOGOLD ASHANTI LIMITED,43465,C - Industrie manufacturière,JOHANNESBURG,ZA,1944,6643
